"Company","Year","Revenue","Gross Profit","Operating Income","Net Income","Total Assets","Total Liabilities","Total Equity","Cash and Cash Equivalents","Debt-to-Equity Ratio","Investment Outcome"
"ABC Inc.",2014,500000,150000,75000,50000,2000000,500000,1500000,200000,0.33,NA
"ABC Inc.",2015,580000,174000,87000,58000,2200000,580000,1640000,230000,0.35,"good"
"ABC Inc.",2016,660000,198000,99000,66000,2400000,660000,1780000,260000,0.37,"good"
"ABC Inc.",2017,740000,222000,111000,74000,2600000,740000,1920000,290000,0.39,"good"
"ABC Inc.",2018,820000,246000,123000,82000,2800000,820000,2060000,320000,0.41,"good"
"ABC Inc.",2019,900000,270000,135000,90000,3000000,900000,2200000,350000,0.43,"good"
"ABC Inc.",2020,780000,234000,117000,78000,2600000,780000,1940000,270000,0.45,"bad"
"ABC Inc.",2021,820000,246000,123000,82000,2800000,820000,2060000,320000,0.41,"good"
"ABC Inc.",2022,900000,270000,135000,90000,3000000,900000,2200000,350000,0.43,"good"
"ABC Inc.",2023,1000000,300000,150000,100000,3200000,1000000,2400000,380000,0.45,"good"
"ABC Inc.",2024,1100000,330000,165000,110000,3400000,1100000,2600000,410000,0.47,"good"

"DEF Corp.",2014,300000,90000,45000,30000,1000000,300000,700000,150000,0.43,NA
"DEF Corp.",2015,306000,91800,45900,30600,1010000,306000,713000,153000,0.43,"bad"
"DEF Corp.",2016,312000,93600,46800,31200,1020000,312000,726000,156000,0.43,"bad"
"DEF Corp.",2017,318000,95400,47700,31800,1030000,318000,739000,159000,0.43,"bad"
"DEF Corp.",2018,324000,97200,48600,32400,1040000,324000,752000,162000,0.43,"bad"
"DEF Corp.",2019,330000,99000,49500,33000,1050000,330000,765000,165000,0.43,"bad"
"DEF Corp.",2020,280000,84000,42000,28000,920000,280000,672000,140000,0.45,"bad"
"DEF Corp.",2021,290000,87000,43500,29000,950000,290000,696000,145000,0.44,"bad"
"DEF Corp.",2022,300000,90000,45000,30000,980000,300000,720000,150000,0.43,"bad"
"DEF Corp.",2023,310000,93000,46500,31000,1010000,310000,744000,155000,0.42,"bad"
"DEF Corp.",2024,320000,96000,48000,32000,1040000,320000,768000,160000,0.41,"bad"

"GHI Ltd.",2014,200000,60000,30000,20000,800000,200000,600000,100000,0.33,NA
"GHI Ltd.",2015,220000,66000,33000,22000,880000,220000,660000,110000,0.33,"good"
"GHI Ltd.",2016,240000,72000,36000,24000,960000,240000,720000,120000,0.33,"good"
"GHI Ltd.",2017,260000,78000,39000,26000,1040000,260000,780000,130000,0.33,"good"
"GHI Ltd.",2018,280000,84000,42000,28000,1120000,280000,840000,140000,0.33,"good"
"GHI Ltd.",2019,300000,90000,45000,30000,1200000,300000,900000,150000,0.33,"good"
"GHI Ltd.",2020,250000,75000,37500,25000,1000000,250000,750000,125000,0.33,"bad"
"GHI Ltd.",2021,280000,84000,42000,28000,1120000,280000,840000,140000,0.33,"good"
"GHI Ltd.",2022,310000,93000,46500,31000,1240000,310000,930000,155000,0.33,"good"
"GHI Ltd.",2023,340000,102000,51000,34000,1360000,340000,1020000,170000,0.33,"good"
"GHI Ltd.",2024,370000,111000,55500,37000,1480000,370000,1110000,185000,0.33,"good"
