"Revenue","Expenses","Profit","Cash Flow","Industry","Label"
1234567,678901,234567,890123,Technology,Growth
9876543,456789,123456,789012,Retail,Stable
1111111,222222,333333,444444,Manufacturing,Growth
5555555,666666,777777,888888,Finance,Stable
9999999,000000,111111,222222,Healthcare,Growth
3333333,444444,555555,666666,Technology,Stable
7777777,888888,999999,000000,Retail,Growth
4444444,555555,666666,777777,Manufacturing,Stable
6666666,777777,888888,999999,Finance,Growth
8888888,999999,000000,111111,Healthcare,Stable
2222222,333333,444444,555555,Technology,Growth
5555555,666666,777777,888888,Retail,Stable
9999999,000000,111111,222222,Manufacturing,Growth
3333333,444444,555555,666666,Finance,Stable
7777777,888888,999999,000000,Healthcare,Growth
4444444,555555,666666,777777,Technology,Stable
6666666,777777,888888,999999,Retail,Growth
8888888,999999,000000,111111,Manufacturing,Stable
2222222,333333,444444,555555,Finance,Growth
5555555,666666,777777,888888,Healthcare,Stable
9999999,000000,111111,222222,Technology,Growth
3333333,444444,555555,666666,Retail,Stable
7777777,888888,999999,000000,Manufacturing,Growth
4444444,555555,666666,777777,Finance,Stable
6666666,777777,888888,999999,Healthcare,Growth
